ticker,date,close,historical_vol,future_vol,vol_change,vol_change_pct,return_1d,return_5d,return_10d,vol_close_5d,vol_parkinson_5d,vol_gk_5d,vol_close_10d,vol_parkinson_10d,vol_gk_10d,vol_close_15d,vol_parkinson_15d,vol_gk_15d,vol_of_vol_5d,vol_of_vol_10d,vol_of_vol_15d,rsi,macd,macd_signal,macd_histogram,bb_width,bb_position,ma_dist_5d,ma_dist_10d,ma_dist_15d,volume_ma_5d,volume_ratio_5d,vwap_ratio_5d,volume_ma_10d,volume_ratio_10d,vwap_ratio_10d,intraday_range,return_acceleration,atm_iv_short,atm_iv_medium,atm_iv_long,atm_iv_mean,atm_iv_std,iv_term_structure_slope,iv_skew_put,iv_skew_call,iv_smile,put_call_volume_ratio,volume_pct_atm,volume_pct_itm,total_option_volume,avg_option_volume,total_transactions,iv_p25,iv_p50,iv_p75,iv_range,atm_iv_mean_change_1d,atm_iv_mean_change_5d,iv_skew_put_change_1d,iv_skew_put_change_5d,put_call_volume_ratio_change_1d,put_call_volume_ratio_change_5d,vix_close,vix_high,vix_low,vix_change_1d,vix_change_pct_1d,vix_ma_5d,vix_ma_10d,vix_regime_high,vix_regime_extreme,spy_close,spy_volume,market_return_1d,market_return_5d,market_vol_5d,market_vol_10d,vol_risk_premium,vol_risk_premium_change_1d,relative_vol,volume_anomaly,vol_change_ratio,target_label,target_numeric
AAPL,2025-12-12,278.2799987792969,0.0101181667405721,0.0104052151017743,0.0002870483612022,0.0283696017828255,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.008624385176844145,,0.1857188909194985,0.1976699528375379,0.2354005545743918,0.2203114529138268,0.0326066310274665,0.00015915557902484979,0.16555490798798717,0.003181538151002,0.16237336983698517,0.3647030036092249,0.7029378541203471,0.16152370365057736,223088,424.1216730038023,38855,0.2220540819573127,0.2507614670829244,0.29745920214724597,2.6438788476876667,-0.013737659516546319,-0.021368648586131578,0.011143162122904282,0.046846100447200556,-0.2896178191502248,-0.8742421829407521,15.739999771118164,17.850000381469727,14.850000381469727,,,,,0.0,0.0,679.7514038085938,113160300.0,,,,,0.21019328617325472,,,,0.02836960178281957,stay_same,1
AAPL,2025-12-15,274.1099853515625,0.0101571491419195,0.0103928253563706,0.0002356762144511,0.0232029884722726,-0.014984955605960026,,,,,,,,,,,,,,,,-0.4054179721408673,-0.11583370632596207,-0.2895842658149052,,,,,,,,,,,,0.026668118453321718,,0.23976362973167145,0.1973464294818618,0.23609504604556245,0.2366545300815832,0.02952757792026846,-0.00034710078272562713,0.12593063521920986,0.039176402892790646,0.08675423232641921,0.6723834354789557,0.3079539587572509,0.4661321509197113,98781,179.27586206896552,16826,0.23700103257200705,0.2661497102181488,0.32373734990516734,2.7729912645424775,0.016343077167756376,0.013013824792491885,-0.03962427276877731,-0.015706543629818576,0.3076804318697308,-0.3541516991089566,16.5,17.350000381469727,15.989999771118164,0.7600002288818359,0.04828464040237068,,,0.0,0.0,678.7244262695312,90811000.0,-0.0015108134140046081,,,,0.22649738093966368,0.016304094766408955,,,0.023202988472271438,stay_same,1
AAPL,2025-12-16,274.6099853515625,0.0099847297478836,0.010380577993361,0.0003958482454773,0.0396453640181144,0.0018240853187405648,,,,,,,,,,,,,,,,-0.6214547039550098,-0.26029684850569,-0.3611578554493198,,,,,,,,,,,,0.01351003842896864,0.01680904092470059,0.24346621839993274,0.19167003207783012,0.2338606704047757,0.22629941928397024,0.0390283783797516,-0.0007105127765409587,0.1510766261061091,0.007366584355349065,0.14371004175076005,0.30234716433525133,0.46613156087638147,0.22263899146162916,154362,275.64642857142854,25668,0.22556571322070687,0.2492587998467993,0.30456377433176196,1.571966613139401,-0.010355110797612949,-0.005179303871991364,0.025145990886899255,0.019298717695157536,-0.3700362711437044,-0.16641618192437935,16.479999542236328,17.610000610351562,16.190000534057617,-0.020000457763671875,-0.0012121489553740261,,,0.0,0.0,676.8699340820312,122030600.0,-0.0027323197983205594,,,,0.21631468953608662,-0.010182691403577054,,,0.03964536401812027,stay_same,1
AAPL,2025-12-17,271.8399963378906,0.0098505533151923,0.0103762052114077,0.0005256518962154,0.0533626771406554,-0.010086993049891024,,,,,,,,,,,,,,,,-1.020521558770099,-0.4775039085812354,-0.5430176501888637,,,,,,,,,,,,0.016627387708075293,-0.011911078368631589,0.24806047914108634,0.21437865066572548,0.23877609271879124,0.235635570578763,0.036794010809311016,-0.0005252918462234672,0.12616731723418406,0.00956663042226688,0.11660068681191718,0.7211672070402965,0.43562812638510734,0.40802887355157347,126344,244.37911025145067,18011,0.2349520021299804,0.2630447148887657,0.3307860081075339,2.823579464971845,0.00933615129479276,0.0051552265713955825,-0.02490930887192505,-0.014176231944246248,0.41882004270504514,-0.5664323556646856,17.6200008392334,18.0,15.819999694824219,1.1400012969970703,0.06917483790429602,,,0.0,0.0,669.4219360351562,110625200.0,-0.011003588240296014,,,,0.2257850172635707,0.009470327727484074,,,0.053362677140653327,stay_same,1
AAPL,2025-12-18,272.19000244140625,0.0100957511111777,0.0097442587302068,-0.0003514923809709,-0.0348158722516195,0.001287544541755281,,,,0.18291532589804765,,,,,,,,,,,,-1.2297325316005185,-0.6924263723010307,-0.5373061592994879,,,-0.007352104832155876,,,45872000.0,1.1255384548308336,1.8884877589676726e-17,,,,0.024541653315203,0.011374537591646305,0.38561020598914686,0.21659844385819635,0.2388130819617797,0.24524222360479297,0.04524923508657883,-0.0010776743201201065,0.14542006511541766,-0.008366016007112842,0.1537860811225305,1.0156301020963494,0.300414722654225,0.3085579747710385,185184,312.81081081081084,28861,0.23334416570401378,0.26441289772772714,0.31357933086885836,2.7714102800280633,0.009606653026029977,0.011193111174419845,0.0192527478812336,-0.00899168074966522,0.29446289505605294,0.3613092793368997,16.8700008392334,17.68000030517578,15.930000305175781,-0.75,-0.04256526471497213,16.642000198364258,,0.0,0.0,674.4769287109375,108650100.0,0.007551280296730134,,,,0.23514647249361528,0.009361455230044585,,,-0.034815872251618744,stay_same,1
AAPL,2025-12-19,273.6700134277344,0.0104052151017743,0.009706332522502,-0.0006988825792722,-0.0671665671912051,0.005437418615868328,-0.016565996017624873,,0.1395956632900647,0.19370406853398536,0.21191221859695059,,,,,,,,,,,-1.1940630274503974,-0.8357511309151354,-0.35831189653526196,,,0.0014125117113736841,,,66891820.0,2.162177677330352,8.950330264623287e-18,,,,0.017174012410652147,0.004149874074113047,0.21600451805067364,0.2089938369979213,0.23296140125390674,0.22979730194027204,0.04380104533254338,0.00013976570748139045,0.12115503795378502,-0.012919819173135672,0.1340748571269207,0.27634396361527164,0.5760561645522848,0.1748813978279982,235451,438.4562383612663,30609,0.2155351301934334,0.239962078049352,0.2914133630489091,0.7304729934831835,-0.015444921664520939,0.009485849026445226,-0.024265027161632646,-0.04439987003420215,-0.7392861384810778,-0.08835903999395328,14.90999984741211,16.530000686645508,14.90999984741211,-1.960000991821289,-0.11618262562637516,16.476000213623045,,0.0,0.0,680.5900268554688,103599500.0,0.00906346515990486,0.0012337202132666203,0.13033082613615518,,0.21939208683849773,-0.015754385655117553,,,-0.0671665671912084,stay_same,1
AAPL,2025-12-22,270.9700012207031,0.0103928253563706,0.0084003417746066,-0.001992483581764,-0.1917172196627583,-0.009865941003960987,-0.011455197908358472,,0.11472654563543458,0.16613358706646342,0.1835150752282647,,,,,,,,,,,-1.3991207176026705,-0.9967138699687169,-0.4024068476339536,,,-0.0061836106180166335,,,64124360.0,0.5703261599803882,9.657291830221195e-18,,,,0.012436783046115363,-0.015303359619829315,0.1994626566934938,0.194507421325999,0.2315534851924208,0.2194978660698699,0.0428341637494298,-0.000816605695969221,0.12590489489151227,0.015343280499623607,0.11056161439188866,1.213638760863085,0.49557691710086077,0.3333316069153399,193078,311.91922455573507,30167,0.22347311741065784,0.2495533558996753,0.3021275376149499,2.8220615703207494,-0.010299435870402135,-0.017156664011713285,0.004749856937727254,-2.5740327697587606e-05,0.9372947972478134,0.5412553253841292,,,,,,,,,,,,,,,,0.2091050407134993,-0.010287046124998422,,,-0.19171721966275956,decrease,0
ABBV,2025-12-12,223.32000732421875,0.0116662231583251,0.0120545438808743,0.0003883207225492,0.0332858987248266,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,0.012179836698438855,,0.23488329258811688,0.23074215677344226,0.26072080153492355,0.23993318707242753,0.03800809997891588,-0.0002872122582222121,0.06837242520156675,-0.0028407973934040653,0.07121322259497082,0.3858743995730297,0.5568677792041078,0.14197689345314507,7790,81.14583333333333,1489,0.2218594915128234,0.23929865042944642,0.2995086688969082,0.23881129189450803,-0.0732352947242689,-0.007650119716934106,0.022468721052845447,0.015536366957921127,-0.6931195784645191,-0.2671291339958749,15.739999771118164,17.850000381469727,14.850000381469727,,,,,0.0,0.0,679.7514038085938,113160300.0,,,,,0.22826696391410242,,,,0.03328589872482354,stay_same,1
ABBV,2025-12-15,227.4499969482422,0.0114313208684611,0.0122045530073783,0.0007732321389172,0.0676415392249708,0.01849359434252329,,,,,,,,,,,,,,,,0.4015267690022597,0.11472193400064562,0.2868048350016141,,,,,,,,,,,,0.020839769429597803,,0.25059766993416993,0.2321866200827675,0.2612031558053405,0.24719503234521778,0.02745465172391842,-0.00011073582802454857,0.11876794777539962,-0.016409691380628533,0.13517763915602815,0.42684202660289944,0.7450508012988374,0.04315491777521734,9547,88.39814814814815,1944,0.22969171046311052,0.2416188502721639,0.2907688779616818,1.375145641277059,0.007261845272790252,0.003996280939725705,0.05039552257383287,0.045890076856737516,0.040967627029869724,-0.408242341432758,16.5,17.350000381469727,15.989999771118164,0.7600002288818359,0.04828464040237068,,,0.0,0.0,678.7244262695312,90811000.0,-0.0015108134140046081,,,,0.23576371147675668,0.007496747562654255,,,0.06764153922496735,stay_same,1
ABBV,2025-12-16,223.6699981689453,0.0118004595735993,0.0118021929725792,1.7333989799066946e-06,0.0001468924976265,-0.01661903200709669,,,,,,,,,,,,,,,,0.29613463966933296,0.16655413562027058,0.12958050404906238,,,,,,,,,,,,0.022041367711987555,-0.03511262634961998,0.29304568353696836,0.2314065590177342,0.2520653057450105,0.2580989062648606,0.057421655646178946,-0.0010370743659934953,0.10523423626305645,-0.02494247889916637,0.13017671516222282,1.767129228100607,0.6661965209214856,0.17661808493966463,6381,62.55882352941177,1494,0.23092359505179844,0.2570399549845098,0.30827291228891535,1.404633161784419,0.010903873919642815,0.006368383118878107,-0.013533711512343172,0.0544361850073764,1.3402872014977076,0.17494409911729902,16.479999542236328,17.610000610351562,16.190000534057617,-0.020000457763671875,-0.0012121489553740261,,,0.0,0.0,676.8699340820312,122030600.0,-0.0027323197983205594,,,,0.2462984466912613,0.010534735214504626,,,0.00014689249762607173,stay_same,1
