ticker,date,open,high,low,close,volume,historical_vol,future_vol,vol_change,vol_change_pct
AAPL,2025-12-12,277.8999938964844,279.2200012207031,276.82000732421875,278.2799987792969,39532900,0.0101181667405721,0.01040521510177436,0.0002870483612022606,0.02836960178282557
AAPL,2025-12-15,280.1499938964844,280.1499938964844,272.8399963378906,274.1099853515625,50409100,0.01015714914191956,0.010392825356370674,0.00023567621445111375,0.023202988472272666
AAPL,2025-12-16,272.82000732421875,275.5,271.7900085449219,274.6099853515625,37648600,0.00998472974788367,0.010380577993361013,0.00039584824547734404,0.039645364018114436
AAPL,2025-12-17,275.010009765625,276.1600036621094,271.6400146484375,271.8399963378906,50138700,0.009850553315192334,0.010376205211407755,0.0005256518962154216,0.053362677140655436
AAPL,2025-12-18,273.6099853515625,273.6300048828125,266.95001220703125,272.19000244140625,51630700,0.010095751111177718,0.009744258730206809,-0.00035149238097090946,-0.03481587225161954
AAPL,2025-12-19,272.1499938964844,274.6000061035156,269.8999938964844,273.6700134277344,144632000,0.01040521510177436,0.00970633252250209,-0.0006988825792722704,-0.06716656719120517
AAPL,2025-12-22,272.8599853515625,273.8800048828125,270.510009765625,270.9700012207031,36571800,0.010392825356370674,0.008400341774606673,-0.0019924835817640013,-0.19171721966275834
ABBV,2025-12-12,223.69000244140625,223.82000732421875,221.10000610351562,223.32000732421875,5467600,0.011666223158325158,0.012054543880874397,0.0003883207225492385,0.033285898724826644
ABBV,2025-12-15,224.24000549316406,228.3000030517578,223.55999755859375,227.4499969482422,5971900,0.011431320868461145,0.012204553007378388,0.0007732321389172427,0.06764153922497088
ABBV,2025-12-16,226.41000366210938,226.83999633789062,221.91000366210938,223.6699981689453,6405900,0.011800459573599329,0.011802192972579235,1.7333989799066946e-06,0.00014689249762651237
ABBV,2025-12-17,223.8800048828125,226.41000366210938,222.86000061035156,224.30999755859375,5243400,0.010995314362531445,0.011119465109936597,0.0001241507474051516,0.011291241278941338
ABBV,2025-12-18,224.0,226.25999450683594,222.7899932861328,222.82000732421875,4760400,0.011036806191860824,0.010781984657271561,-0.0002548215345892623,-0.02308834006500743
ABBV,2025-12-19,222.9499969482422,229.47000122070312,222.35000610351562,226.82000732421875,18968800,0.012054543880874397,0.010694692266471933,-0.0013598516144024634,-0.11280821803303472
ABBV,2025-12-22,226.11000061035156,228.64999389648438,224.25,227.91000366210938,4828100,0.012204553007378388,0.010152684836976568,-0.0020518681704018195,-0.16812317248827888
ABT,2025-12-12,123.47000122070312,125.58000183105469,122.91000366210938,125.45999908447266,4765300,0.01110529559817317,0.012621838868311204,0.0015165432701380339,0.1365603694860231
ABT,2025-12-15,125.72000122070312,129.63999938964844,125.19999694824219,128.47000122070312,7716000,0.012624409429534507,0.01237073237285009,-0.0002536770566844166,-0.020094172174972807
ABT,2025-12-16,128.41000366210938,128.60000610351562,126.30000305175781,126.86000061035156,5764200,0.012089164656951777,0.012073351431925429,-1.5813225026348188e-05,-0.0013080494372499857
ABT,2025-12-17,126.75,127.66999816894531,125.94000244140625,126.70999908447266,8048900,0.011844216282626293,0.011662099824425788,-0.00018211645820050484,-0.015375982154905652
ABT,2025-12-18,126.58000183105469,127.58000183105469,124.93000030517578,125.12000274658203,5891700,0.012284020668155107,0.011483624210737819,-0.0008003964574172882,-0.06515753099408426
ABT,2025-12-19,125.04000091552734,126.12999725341797,123.76000213623047,125.44999694824219,14795700,0.012621838868311204,0.010840883080299164,-0.00178095578801204,-0.141101134834114
ABT,2025-12-22,125.16000366210938,127.23999786376953,124.7699966430664,125.19999694824219,5058000,0.01237073237285009,0.009027909448011965,-0.003342822924838125,-0.2702202928724399
ACN,2025-12-12,271.9599914550781,273.44000244140625,270.29998779296875,271.55999755859375,2983800,0.016601946295250244,0.015574190894729393,-0.0010277554005208508,-0.0619057176937675
ACN,2025-12-15,276.0,276.3999938964844,271.0199890136719,274.6600036621094,4041700,0.015971918597422745,0.015748347719650474,-0.00022357087777227086,-0.013997747134044787
ACN,2025-12-16,281.1300048828125,281.1300048828125,270.8299865722656,272.0400085449219,5503300,0.016923221935958455,0.015459497844923977,-0.0014637240910344781,-0.08649204605207934
ACN,2025-12-17,272.6499938964844,279.3800048828125,272.0,273.739990234375,5586800,0.015364486937919178,0.01503223378068812,-0.0003322531572310574,-0.02162474793812117
ACN,2025-12-18,265.0,272.3699951171875,261.5,269.9599914550781,6923200,0.015242490747829972,0.014074771234197305,-0.001167719513632667,-0.07660949466535918
ACN,2025-12-19,270.0,276.80999755859375,270.0,272.25,8375700,0.015574190894729393,0.01409527596182325,-0.0014789149329061425,-0.09495934285784541
ACN,2025-12-22,271.6099853515625,272.79998779296875,267.8500061035156,270.6700134277344,3289500,0.015748347719650474,0.01374308726462456,-0.0020052604550259145,-0.12733148205279915
ADBE,2025-12-12,351.5400085449219,362.7099914550781,349.0899963378906,356.42999267578125,5483900,0.022134898271125567,0.020336643386220474,-0.0017982548849050928,-0.08124071151711017
ADBE,2025-12-15,352.6000061035156,355.0,343.8800048828125,351.1499938964844,5480100,0.02216511025812978,0.019673512166523445,-0.0024915980916063347,-0.11241081422964994
ADBE,2025-12-16,350.0,355.8599853515625,345.42999267578125,347.8900146484375,4118200,0.022396623605073062,0.01960057539513112,-0.002796048209941941,-0.12484239853495631
ADBE,2025-12-17,347.8900146484375,357.79998779296875,347.79998779296875,354.6600036621094,4371600,0.022730490220095743,0.0192763053914433,-0.0034541848286524443,-0.15196261916070083
